original_token,snowballc_stem,nltk_porter_stem,is_equal
science,scienc,scienc,true
physics,physic,physic,true
subject,subject,subject,true
technology,technologi,technologi,true
intelligence,intellig,intellig,true
artificial,artifici,artifici,true
organization,organ,organ,true
organizations,organ,organ,true
organized,organ,organ,true
organizing,organ,organ,true
performance,perform,perform,true
performed,perform,perform,true
performing,perform,perform,true
risks,risk,risk,true
markets,market,market,true
agreed,agre,agre,true
disabled,disabl,disabl,true
relational,relat,relat,true
conditional,condit,condit,true
rational,ration,ration,true
digitizer,digit,digit,true
vietnamization,vietnam,vietnam,true
predication,predic,predic,true
operator,oper,oper,true
feudalism,feudal,feudal,true
decisiveness,decis,decis,true
hopefulness,hope,hope,true
callousness,callous,callous,true
formaliti,formal,formal,true
sensitiviti,sensit,sensit,true
sensibiliti,sensibl,sensibl,true
triplicate,triplic,triplic,true
formalize,formal,formal,true
electriciti,electr,electr,true
generously,gener,gener,true
communism,commun,commun,true
